date,race,mode,banker_no,banker_name,legs,banker_finish,legs_finish,win_hit,qin_hit,qpl_hit,pnl_est
20260401,1,banker_qpl,3,ONLY U,#9 DOUBLE BINGO|#10 CHEER FOR SOUTH|#7 RACINGRACE|#1 SUPERB GUY|#2 TAI VICTORY,10,9:4|10:7|7:12|1:5|2:11,False,False,False,-1.00
20260401,2,box_qin,,,#14 ALL EYES ON ME|#13 PHANTOM CYCLONE|#2 DIRIYA|#3 CELESTIAL HARMONY|#4 TELECOM POWER|#9 VERBIER,,14:9|13:8|2:14|3:4|4:7|9:3,False,False,False,-1.00
20260401,3,banker_qpl,8,DAILY TROPHY,#9 FASHION LEGEND|#1 SUPREME AGILITY|#10 BULL ATTITUDE|#6 BLOSSOMY|#2 COLOURFUL GAN|#5 NOVA KNIGHT,8,9:7|1:2|10:4|6:9|2:13|5:14,False,False,False,-1.00
20260401,4,banker_qpl,2,SPEEDY SMARTIE,#12 NO OTHER CHOICE|#11 SWAGGER BRO|#4 KING OBERON|#6 DAY DAY VICTORY|#9 FORTUNE WHISKEY|#10 RISING ELITE|#5 LUCKY TOGETHER|#8 STARRY SHOW|#7 TACTICAL VICTORY,2,12:5|11:6|4:9|6:4|9:10|10:7|5:11|8:8|7:12,False,False,False,-1.00
20260401,5,box_qin,,,#2 CALIFORNIA STAR|#13 FIREFOOT|#5 HAPPY UNIVERSE|#4 ARIEL|#9 NORTHERN BEAST|#10 GLORIOUS RYDER|#3 GLORIOUS SUCCESS,,2:7|13:4|5:1|4:9|9:12|10:13|3:8,False,False,False,-1.00
20260401,6,banker_qpl,3,ONE MAN SHOW,#2 NEVER TOO SOON|#9 JUICY DRAGON|#1 TOURBILLON GOLFER|#11 HAPPY ALLIANCE|#10 SAVVY WARRIOR,5,2:9|9:2|1:3|11:12|10:7,False,False,False,-1.00
20260401,7,box_qin,,,#2 NOTTHESILLYONE|#6 GOOD CHAP|#5 LIGHT YEARS GLORY|#1 IGOR STRAVINSKY|#9 JOLLY COMPANION|#7 LEAPING STAR,,2:9|6:7|5:4|1:1|9:5|7:11,False,False,False,-1.00
20260401,8,box_qin,,,#4 VICTORY SKY|#7 BLAZING WIND|#2 CAPITAL DELIGHT|#5 AURORA PATCH|#1 ROMANTIC SON|#10 YOUNG ARROW|#3 SUPERB CAPITALIST,,4:1|7:4|2:5|5:2|1:3|10:7|3:9,False,True,True,-0.74
20260401,9,box_qin,,,#3 DRAGON AIR FORCE|#8 ENDEARED|#2 TALENTS AMBITION|#10 SO YOU WILL|#14 STURDY RUBY|#13 JOLTIN,,3:8|8:3|2:2|10:5|14:10|13:12,False,False,True,-1.00
20260406,1,box_qin,,,#1 ALMIGHTY LIGHTNING|#13 CONSPIRATOR|#14 ENJOY GOLF|#10 SEA DIAMOND|#2 SUPER SIXTY|#12 ZOUPER FELLOW|#11 STAR PERFORMER,,1:2|13:10|14:4|10:8|2:12|12:1|11:5,False,True,True,-0.32
20260406,2,banker_qpl,5,MAJESTIC DELIGHT,#2 ICONICAL|#8 KING ALLOY|#1 ALWAYS FLUKE|#11 ORIENTAL SURPRISE|#13 SMART ENGINEER|#10 ROBOT KNIGHT|#4 CIRCUIT DUFFY,6,2:13|8:4|1:2|11:9|13:8|10:3|4:14,False,False,False,-1.00
20260406,3,box_qin,,,#1 MR COOL|#3 VICTOR SUPREME|#5 MULTISUPERSTAR|#4 LUCKY YEAR|#6 KYRUS TREASURE|#10 DERRYNBLUE|#11 FIGHTING MACHINE,,1:3|3:4|5:10|4:9|6:13|10:12|11:8,False,False,False,-1.00
20260406,4,box_qin,,,#2 LUCKY RANGER|#3 ROBOT STAR|#5 FLYING KNIGHT|#7 LET'S HAVE FUN|#11 I EXCELLE|#9 ILLUMINOUS|#12 DUKE OF ORANGE|#6 KING CANNON|#13 QUICK MONEY,,2:None|3:2|5:5|7:10|11:11|9:3|12:4|6:9|13:13,False,False,True,-1.00
20260406,5,box_qin,,,#14 RIDING HIGH|#12 COME FAST FAY FAY|#1 MR INCREDIBLE|#11 SUNNY Q|#10 LITTLE MONSTER|#9 DRAGON HALL|#5 HEALTHY PONY,,14:2|12:7|1:6|11:9|10:5|9:14|5:11,False,False,False,-1.00
20260406,6,banker_qpl,4,FAST RESPONDER,#1 GLOWING PRAISES|#6 BLUE ILLUSION|#11 WONDERSTAR|#7 TACTICAL ACE|#2 WHIZZ KID|#9 REAL TIME,1,1:2|6:9|11:5|7:7|2:6|9:12,True,True,True,-0.08
20260406,7,banker_qpl,1,KA YING RISING,#2 HELIOS EXPRESS|#4 TOMODACHI KOKOROE|#3 RAGING BLIZZARD,1,2:2|4:6|3:3,True,True,True,5.42
20260406,8,banker_qpl,2,MIGHTY MASTS,#1 LUCY IN THE SKY|#10 PACKING GLORY|#9 KA YING SUPERB|#7 DRAGON ON SNOW|#3 GOLDEN CHAMP|#5 DREAMING TOGETHER,1,1:8|10:5|9:9|7:10|3:6|5:7,True,False,False,-1.00
20260406,9,banker_qpl,14,STUNNING PEACH,#1 VOYAGE BUBBLE|#13 STORM RIDER|#2 RED LION|#12 PATCH OF THETA|#4 BEAUTY JOY|#11 CHANCHENG GLORY,9,1:3|13:13|2:14|12:10|4:11|11:6,False,False,False,-1.00
