horse,added,expires,conf,tags,runs,win_hits,pla_hits,win_hit_pct,pla_hit_pct,win_roi,pla_roi,verdict,reasoning
SAVVY WARRIOR,2026-04-03,2026-07-02,medium,barrier_trial|distance_change,0,0,0,,,,,NO_RUNS,"Strong trial prior to race, changed track and distance, track favor front-runners, top 4 finish from position"
LUCKY CANDY,2026-04-04,2026-07-03,medium,improving|strong_finish,1,0,1,0.0,1.0,-1.0,1.9,KEEP,"Massive improvement, wide draw, trailed off the front at half-way, lunged inwards and almost won the race at the wire"
KING ALLOY,2026-04-04,2026-07-03,medium,fast_time,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Fastest jump across the field, fastest ESZ, capable of dictating the pace, led from wide draw on 1000, beaten barely"
ILLUMINOUS,2026-04-04,2026-07-03,medium,final_sectional|traffic,1,0,1,0.0,1.0,-1.0,13.5,KEEP,"Off pace early, stayed on the rail, quickened up quickly, traffic at 200 no room"
WONDERSTAR,2026-04-07,2026-07-06,high,slow_start|traffic|bad_run,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Missed the start, jockey switched lanes couple of times, finished strongly despite start"
DUKE OF ORANGE,2026-04-07,2026-07-06,medium,bad_draw|improvement|final_sectional,0,0,0,,,,,NO_RUNS,"Dropped last from Gate 14, stayed on the inside, strong finish when called upon"
FLYING AMANI,2026-04-07,2026-07-06,medium,traffic,0,0,0,,,,,NO_RUNS,"Heavy traffic on the straight, hampered by fading Super Sicario, hands and heels ran strong"
VIEW ALL THINGS,2026-04-07,2026-07-06,medium,traffic|final_sectional,0,0,0,,,,,NO_RUNS,"Dropped last, followed Always Fluke 2 fold onto straight, hampered by fading Majestic Delight, shifted out final 100, rapid when opened up f"
PRECISION HOPE,2026-04-08,2026-07-07,medium,traffic|final_sectional,0,0,0,,,,,NO_RUNS,"Shuffled back at the final bend by fading horse, last to enter the straight and needed to shift out for room, rapid when called upon"
CHILL MASTER,2026-04-08,2026-07-07,medium,bad_run|final_sectional,0,0,0,,,,,NO_RUNS,"Pushed out at the bend to mid-field, finished despite covering more ground and nearly winning"
ONE AND ONLY,2026-04-08,2026-07-07,medium,stable_change|improvement|gear_change,0,0,0,,,,,NO_RUNS,"Improved in the trials, looks effortless and easier to handle after joining J Richards stable, jockey never persuaded finished well regardle"
SPARKLE AND GOLD,2026-04-08,2026-07-07,medium,slow_start|traffic,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Hampered by Majestic Delight over in Sha Tin 1200 when dashing, bit slow at the start but can finished well"
TYCOON RESOURCES,2026-04-08,2026-07-07,high,trial,0,0,0,,,,,NO_RUNS,"Incredible trial in front leading, performed well effortlessly"
SPICY GOLD,2026-04-08,2026-07-07,medium,stable_change,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Changed to J Richards, breaks well, currently at a competitive rating, beaten previously by Regal Gem"
YEE CHEONG GLORY,2026-04-09,2026-07-08,medium,traffic,1,0,0,0.0,0.0,-1.0,-1.0,EXPIRE,"Hampered previously on the straight, couldn't find an open lane until late on the inside, rapid when called upon"
SUPER JOY N FUN,2026-04-09,2026-07-08,high,bad_draw|bad_run|improvement,0,0,0,,,,,NO_RUNS,"Caught wide without cover throughout the race, strong finish despite losing ground throughout"
WHOWROTETHATSONG,2026-04-09,2026-07-08,low,bad_draw|final_sectional,0,0,0,,,,,NO_RUNS,"Settled last, dropped further back at the bend to get inside, finished well on the straight after saving ground"
TOP TIME,2026-04-10,2026-07-09,medium,trial|profile_change|improvement,1,0,1,0.0,1.0,-1.0,1.9,KEEP,"Jumped well and pushed forward in the trial, finished strongly changing running styles"
