horse,trial_date,race_date,gap_days,trial_dist,race_dist,dist_match,trial_sentiment,concealed,won_trial,improver,trial_finish_pct,race_place,race_n,race_finish_pct,race_win,race_top3,race_top_half
CHIU CHOW SPIRIT,2025-08-21,2025-09-07,17,1200,1400,True,++,False,True,False,0.16666666666666666,2,11,0.18181818181818182,0,1,1
FAST NETWORK,2025-08-21,2025-09-07,17,1200,1400,True,++,False,False,False,0.3333333333333333,4,11,0.36363636363636365,0,0,1
SPICY GOLD,2025-08-21,2025-09-17,27,1200,1000,True,++,False,False,False,0.5,10,11,0.9090909090909091,0,0,0
ORIENTAL SMOKE,2025-08-21,2025-09-07,17,1200,1400,True,0,False,False,False,0.6666666666666666,12,14,0.8571428571428571,0,0,0
LIM'S SHAVANO,2025-08-21,2025-09-14,24,1200,1000,True,-,False,False,False,0.8333333333333334,6,11,0.5454545454545454,0,0,0
TAKE ACTION,2025-08-21,2025-09-10,20,1200,1650,False,-,False,False,False,1.0,5,11,0.45454545454545453,0,0,1
LUCKY MAN,2025-08-21,2025-09-07,17,1200,1400,True,++,False,True,False,0.16666666666666666,12,14,0.8571428571428571,0,0,0
SAMARKAND,2025-08-21,2025-09-10,20,1200,1650,False,+,False,False,False,0.3333333333333333,11,11,1.0,0,0,0
MOJAVE DESERT,2025-08-21,2025-09-14,24,1200,1200,True,++,False,False,False,0.5,3,12,0.25,0,1,1
I CAN,2025-08-21,2025-09-10,20,1200,1650,False,0,False,False,False,0.6666666666666666,3,11,0.2727272727272727,0,1,1
QUANTUM PATCH,2025-08-21,2025-09-10,20,1200,1650,False,-,False,False,False,0.8333333333333334,2,12,0.16666666666666666,0,1,1
GALE SAGA,2025-08-21,2025-09-07,17,1200,1400,True,-,False,False,False,1.0,2,14,0.14285714285714285,0,1,1
CELESTIAL HARMONY,2025-08-21,2025-09-10,20,1200,1650,False,++,False,True,False,0.14285714285714285,7,11,0.6363636363636364,0,0,0
KA YING RESILIENCE,2025-08-21,2025-09-07,17,1200,1200,True,+,False,False,False,0.2857142857142857,4,14,0.2857142857142857,0,0,1
YOUTH POWER,2025-08-21,2025-09-10,20,1200,1650,False,+,False,False,False,0.42857142857142855,3,12,0.25,0,1,1
SOARING BRONCO,2025-08-21,2025-09-10,20,1200,1650,False,0,False,False,False,0.5714285714285714,11,11,1.0,0,0,0
EXCELLENCE VALUE,2025-08-21,2025-09-17,27,1200,1650,False,+,False,False,False,0.7142857142857143,5,9,0.5555555555555556,0,0,0
PLENTIFUL,2025-08-21,2025-09-10,20,1200,1000,True,+,True,False,False,0.8571428571428571,7,12,0.5833333333333334,0,0,0
HAILTOTHEVICTORS,2025-08-21,2025-09-10,20,1200,1650,False,-,False,False,False,1.0,11,12,0.9166666666666666,0,0,0
NEW FOREST,2025-08-21,2025-09-21,31,1200,1650,False,++,False,True,False,0.16666666666666666,3,12,0.25,0,1,1
YODA'S CHOICE,2025-08-21,2025-09-07,17,1200,1200,True,++,True,False,False,0.3333333333333333,13,14,0.9285714285714286,0,0,0
ORIENTAL SURPRISE,2025-08-21,2025-09-07,17,1200,1200,True,++,False,False,False,0.5,4,14,0.2857142857142857,0,0,1
SIGHT SUPREME,2025-08-21,2025-09-10,20,1200,1650,False,+,False,False,False,0.8333333333333334,10,12,0.8333333333333334,0,0,0
TEAM HAPPY,2025-08-21,2025-09-14,24,1200,1400,True,-,False,False,False,1.0,5,14,0.35714285714285715,0,0,1
DECRELOT,2025-08-21,2025-09-14,24,1200,1400,True,++,False,True,False,0.16666666666666666,10,14,0.7142857142857143,0,0,0
SUPER CHARIZZARD,2025-08-21,2025-09-10,20,1200,1200,True,++,True,False,False,0.3333333333333333,10,12,0.8333333333333334,0,0,0
LEATHER MASTER,2025-08-21,2025-09-07,17,1200,1600,False,+,False,False,False,0.5,12,14,0.8571428571428571,0,0,0
SPANGLE FORTUNE,2025-08-21,2025-09-07,17,1200,1400,True,0,False,False,False,0.6666666666666666,5,14,0.35714285714285715,0,0,1
MR ALADDIN,2025-08-21,2025-09-07,17,1200,1600,False,-,False,False,False,0.8333333333333334,3,14,0.21428571428571427,0,1,1
GANGNAM STAR,2025-08-21,2025-09-14,24,1200,1400,True,-,False,False,False,1.0,5,14,0.35714285714285715,0,0,1
SUNNY DARLING,2025-08-21,2025-09-07,17,1050,1200,True,++,False,True,False,0.16666666666666666,8,14,0.5714285714285714,0,0,0
GOLDEN LUCK,2025-08-21,2025-09-17,27,1050,1200,True,+,False,False,False,0.3333333333333333,10,12,0.8333333333333334,0,0,0
GOOD FORTUNE,2025-08-21,2025-09-07,17,1050,1200,True,0,False,False,False,0.6666666666666666,4,14,0.2857142857142857,0,0,1
MOTOMAN,2025-08-21,2025-09-10,20,1050,1200,True,+,False,False,False,0.8333333333333334,11,12,0.9166666666666666,0,0,0
DR GOLDEN GENERAL,2025-08-21,2025-09-07,17,1050,1000,True,+,False,False,False,1.0,13,14,0.9285714285714286,0,0,0
LUCKY SWEYNESSE,2025-08-22,2025-09-07,16,1200,1200,True,++,False,True,False,0.1,2,12,0.16666666666666666,0,1,1
GIANT LEAP,2025-08-22,2025-09-10,19,1200,1200,True,++,False,False,False,0.2,12,12,1.0,0,0,0
PATCH OF STARS,2025-08-22,2025-09-07,16,1200,1400,True,+,False,False,False,0.3,6,14,0.42857142857142855,0,0,1
ARMOUR WAR EAGLE,2025-08-22,2025-09-07,16,1200,1400,True,++,False,False,False,0.4,4,14,0.2857142857142857,0,0,1
WONDER KIT,2025-08-22,2025-09-07,16,1200,1400,True,-,False,False,False,0.5,9,11,0.8181818181818182,0,0,0
SNOWFIELD,2025-08-22,2025-09-14,23,1200,1400,True,0,False,False,False,0.6,12,13,0.9230769230769231,0,0,0
AMAZING RUN,2025-08-22,2025-09-10,19,1200,1650,False,+,False,False,False,0.7,12,12,1.0,0,0,0
UP WITH CHARM,2025-08-22,2025-10-15,54,1200,1200,True,-,False,False,False,0.9,9,12,0.75,0,0,0
ROMANTIC FANTASY,2025-08-22,2025-09-17,26,1200,1800,False,-,False,False,False,1.0,5,12,0.4166666666666667,0,0,1
SING DRAGON,2025-08-22,2025-09-28,37,1200,1200,True,++,False,False,False,0.2,10,11,0.9090909090909091,0,0,0
PATCH OF WATCH,2025-08-22,2025-09-07,16,1200,1200,True,+,False,False,False,0.3,7,14,0.5,0,0,1
SUNSET TRAIL,2025-08-22,2025-09-07,16,1200,1400,True,++,False,False,False,0.4,13,14,0.9285714285714286,0,0,0
AHREN,2025-08-22,2025-09-28,37,1200,1200,True,-,False,False,False,0.5,3,12,0.25,0,1,1
CIRCUIT VICTORY,2025-08-22,2025-09-07,16,1200,1200,True,0,False,False,False,0.6,14,14,1.0,0,0,0
TO INFINITY,2025-08-22,2025-09-10,19,1200,1650,False,+,True,False,False,0.7,1,11,0.09090909090909091,1,1,1
PEARL OF PANG'S,2025-08-22,2025-09-21,30,1200,1600,False,0,False,False,False,0.8,2,14,0.14285714285714285,0,1,1
WITHOUT DELAY,2025-08-22,2025-09-21,30,1200,1600,False,-,False,False,False,0.9,7,14,0.5,0,0,1
CONSPIRATOR,2025-08-22,2025-09-07,16,1200,1200,True,-,False,False,False,1.0,14,14,1.0,0,0,0
KA YING RISING,2025-08-22,2025-09-07,16,1050,1200,True,++,False,True,False,0.2,1,12,0.08333333333333333,1,1,1
STORMING DRAGON,2025-08-22,2025-09-10,19,1050,1200,True,++,True,False,False,0.4,1,12,0.08333333333333333,1,1,1
BIGTIME GENERATION,2025-08-22,2025-10-12,51,1050,1200,True,0,False,False,False,0.6,9,11,0.8181818181818182,0,0,0
COLONEL,2025-08-22,2025-09-07,16,1050,1200,True,-,False,False,False,0.8,13,14,0.9285714285714286,0,0,0
ISLAND GOLDEN,2025-08-22,2025-09-14,23,1050,1400,False,0,False,False,False,,13,14,0.9285714285714286,0,0,0
BOTTOMUPTOGETHER,2025-08-25,2025-09-07,13,1000,1200,True,++,False,True,False,0.16666666666666666,5,12,0.4166666666666667,0,0,1
SUPER STRONG KID,2025-08-25,2025-09-07,13,1000,1000,True,+,False,False,False,0.3333333333333333,1,14,0.07142857142857142,1,1,1
WE ARE HERO,2025-08-25,2025-10-04,40,1000,1000,True,+,False,False,False,0.5,2,14,0.14285714285714285,0,1,1
